category,total_books,avg_price_gbp,avg_price_rub,avg_rating,in_stock_share
Default,152,34.39,3714.81,2.84,1.0
Nonfiction,110,34.26,3700.5,2.88,1.0
Sequential Art,75,34.57,3734.21,2.97,1.0
Add a comment,67,35.8,3866.43,2.76,1.0
Fiction,65,36.07,3895.61,3.18,1.0
Young Adult,54,35.45,3828.91,3.3,1.0
Fantasy,48,39.59,4276.61,3.08,1.0
Romance,35,33.93,3665.23,2.63,1.0
Mystery,32,31.72,3426.03,2.94,1.0
Food and Drink,30,31.41,3393.15,2.9,1.0
Childrens,29,32.64,3525.31,2.62,1.0
Historical Fiction,26,33.64,3633.97,3.23,1.0
Poetry,19,35.97,3885.63,3.53,1.0
Classics,19,36.55,3947.31,2.47,1.0
History,18,37.29,4028.29,2.94,1.0
Womens Fiction,17,36.79,3973.87,3.12,1.0
Horror,17,35.95,3882.95,2.71,1.0
Science Fiction,16,33.8,3651.06,2.25,1.0
Science,14,33.09,3573.95,2.93,1.0
Music,13,35.64,3849.2,3.15,1.0
Business,12,32.46,3506.06,2.92,1.0
Philosophy,11,33.56,3624.67,2.36,1.0
Thriller,11,31.43,3395.2,2.73,1.0
Travel,11,39.79,4298.27,2.73,1.0
Humor,10,33.5,3618.5,3.4,1.0
Autobiography,9,37.05,4002.19,3.0,1.0
Art,8,38.52,4160.61,3.62,1.0
Religion,7,32.57,3517.63,3.14,1.0
Psychology,7,34.22,3696.0,1.71,1.0
Christian Fiction,6,34.38,3713.98,4.17,1.0
Spirituality,6,35.1,3791.03,3.33,1.0
New Adult,6,46.38,5009.94,3.17,1.0
Sports and Games,5,41.17,4446.4,3.0,1.0
Biography,5,33.66,3635.89,2.2,1.0
Self Help,5,40.62,4387.43,2.6,1.0
Health,4,51.45,5557.47,3.75,1.0
Contemporary,3,36.2,3910.02,2.33,1.0
Politics,3,53.61,5790.86,2.33,1.0
Christian,3,42.5,4590.13,2.67,1.0
Historical,2,22.83,2465.9,3.0,1.0
Academic,1,13.12,1417.11,2.0,1.0
Adult Fiction,1,15.36,1659.06,5.0,1.0
Erotica,1,19.19,2072.74,5.0,1.0
Cultural,1,36.58,3951.06,1.0,1.0
Crime,1,10.97,1184.89,1.0,1.0
Novels,1,54.81,5920.12,5.0,1.0
Paranormal,1,15.4,1663.38,1.0,1.0
Parenting,1,37.35,4034.23,2.0,1.0
Suspense,1,58.33,6300.32,3.0,1.0
Short Stories,1,35.88,3875.46,1.0,1.0
